iter	RMSE
0	0.2885825967
1	0.2885029223
2	0.2884174761
3	0.2883390614
4	0.2882616495
5	0.2882104299
6	0.2881416332
7	0.2880735708
8	0.2880072515
9	0.2879422611
10	0.2878829345
11	0.2878227637
12	0.2877708315
13	0.2877130192
14	0.2876581187
15	0.2876207537
16	0.2875638363
17	0.2875055097
18	0.2874596361
19	0.2874222674
20	0.2873897362
21	0.2873460597
22	0.2873046604
23	0.2872691417
24	0.287244441
25	0.2872041214
26	0.2871654888
27	0.2871225392
28	0.2871021855
29	0.2870699854
30	0.2870233709
31	0.2870014968
32	0.2869588122
33	0.2869288714
34	0.2869063562
35	0.2868772946
36	0.2868581177
37	0.2868349115
38	0.286802194
39	0.2867777623
40	0.286759543
41	0.2867266264
42	0.286704133
43	0.286680504
44	0.2866557037
45	0.2866260173
46	0.2865989568
47	0.2865792686
48	0.2865446878
49	0.2865127223
50	0.2864837597
51	0.2864593086
52	0.2864404336
53	0.2864045698
54	0.2863709121
55	0.2863523443
56	0.2863268348
57	0.2862976671
58	0.286270222
59	0.2862545757
60	0.2862373434
61	0.2862138727
62	0.2861951395
63	0.286173341
64	0.2861409442
65	0.2861209565
66	0.2860961756
67	0.2860723141
68	0.2860560284
69	0.2860326134
70	0.2860097668
71	0.2859950717
72	0.2859755482
73	0.285951032
74	0.2859336416
75	0.2859166441
76	0.285896026
77	0.2858739537
78	0.285856561
79	0.2858307437
80	0.285819662
81	0.285803426
82	0.2857816592
83	0.2857611762
84	0.2857456622
85	0.2857268627
86	0.2857155866
87	0.285693507
88	0.285675525
89	0.2856449133
90	0.2856345965
91	0.2856182844
92	0.2856023261
93	0.2855858879
94	0.2855680415
95	0.2855485854
96	0.2855222343
97	0.2855074687
98	0.2854857843
99	0.2854703744
100	0.2854542166
101	0.285439352
102	0.285429338
103	0.2854131525
104	0.2854008461
105	0.2853876725
106	0.2853695712
107	0.2853534833
108	0.2853355578
109	0.2853222891
110	0.2853040154
111	0.2852865265
112	0.2852737981
113	0.2852556181
114	0.2852441738
115	0.28522806
116	0.2852158605
117	0.2852033519
118	0.2851884025
119	0.285171846
120	0.2851532663
121	0.2851389407
122	0.2851167875
123	0.2851027404
124	0.2850886104
125	0.2850766259
126	0.2850624498
127	0.2850521429
128	0.2850331611
129	0.2850133969
130	0.2849996258
131	0.2849842581
132	0.2849752078
133	0.2849595214
134	0.2849430309
135	0.2849218691
136	0.284908749
137	0.2848897265
138	0.2848787914
139	0.2848559943
140	0.2848432494
141	0.284830289
142	0.284807881
143	0.2847968084
144	0.2847749749
145	0.2847622428
146	0.2847416872
147	0.2847250306
148	0.2847077854
149	0.284698047
150	0.2846862967
151	0.2846677194
152	0.2846536069
153	0.2846389965
154	0.2846253179
155	0.2846039114
156	0.2845884213
157	0.2845708723
158	0.2845576608
159	0.2845395753
160	0.2845234622
161	0.2845051341
162	0.2844939565
163	0.2844860392
164	0.284471063
165	0.2844603414
166	0.2844468423
167	0.2844342417
168	0.2844241884
169	0.284409122
170	0.2843941531
171	0.2843876713
172	0.2843695496
173	0.2843573406
174	0.284349664
175	0.2843330167
176	0.2843212271
177	0.2843063438
178	0.284294048
179	0.2842806751
180	0.28426908
181	0.2842556593
182	0.284242255
183	0.2842320928
184	0.2842255744
185	0.2842110989
186	0.2841958376
187	0.2841824801
188	0.2841705038
189	0.2841520557
190	0.2841381632
191	0.2841268898
192	0.2841129389
193	0.2841014379
194	0.2840884527
195	0.2840766516
196	0.2840600476
197	0.2840455794
198	0.2840343437
199	0.2840215912
200	0.2840095047
201	0.28399842
202	0.2839820411
203	0.2839749239
204	0.2839607516
205	0.2839478616
206	0.2839338166
207	0.2839203856
208	0.2839097336
209	0.2838979101
210	0.2838891993
211	0.2838772394
212	0.2838628815
213	0.283849159
214	0.2838323896
215	0.2838178968
216	0.2838045518
217	0.2837916457
218	0.2837827962
219	0.2837727372
220	0.2837585557
221	0.2837411796
222	0.2837247921
223	0.2837116926
224	0.2836957362
225	0.283683472
226	0.2836756649
227	0.2836658089
228	0.2836553778
229	0.2836432995
230	0.2836286498
231	0.283617792
232	0.2836065756
233	0.2835986727
234	0.283587324
235	0.2835757399
236	0.2835637819
237	0.283554091
238	0.2835447141
239	0.2835341205
240	0.2835236161
241	0.2835107384
242	0.2835038658
243	0.2834914214
244	0.283475598
245	0.2834625923
246	0.2834513429
247	0.283442737
248	0.2834328209
249	0.2834245316
250	0.2834129598
251	0.283402929
252	0.2833937192
253	0.2833828813
254	0.2833719538
255	0.2833605158
256	0.2833506669
257	0.2833437372
258	0.2833358081
259	0.2833258426
260	0.2833149612
