iter	Passed	Remaining
0	160	63909
1	181	36046
2	201	26723
3	225	22314
4	244	19328
5	262	17270
6	283	15936
7	304	14923
8	324	14106
9	346	13519
10	367	12993
11	387	12536
12	407	12138
13	427	11791
14	449	11546
15	469	11256
16	490	11040
17	511	10853
18	531	10661
19	550	10465
20	568	10268
21	588	10117
22	607	9958
23	627	9827
24	644	9669
25	664	9559
26	684	9459
27	706	9390
28	724	9273
29	745	9193
30	766	9118
31	784	9023
32	802	8929
33	821	8847
34	840	8767
35	860	8696
36	879	8624
37	898	8559
38	918	8501
39	936	8427
40	955	8368
41	975	8314
42	993	8246
43	1011	8186
44	1032	8143
45	1051	8093
46	1069	8031
47	1086	7969
48	1105	7918
49	1123	7867
50	1142	7817
51	1160	7768
52	1178	7713
53	1195	7662
54	1213	7608
55	1229	7554
56	1247	7507
57	1269	7483
58	1286	7437
59	1303	7385
60	1319	7333
61	1338	7295
62	1355	7248
63	1373	7210
64	1392	7178
65	1411	7143
66	1429	7104
67	1449	7077
68	1467	7039
69	1486	7007
70	1504	6972
71	1521	6929
72	1539	6894
73	1559	6868
74	1578	6839
75	1595	6803
76	1613	6769
77	1632	6738
78	1653	6717
79	1673	6692
80	1691	6662
81	1712	6639
82	1732	6618
83	1752	6591
84	1771	6566
85	1794	6551
86	1812	6519
87	1830	6490
88	1850	6465
89	1871	6444
90	1887	6410
91	1907	6384
92	1926	6358
93	1945	6332
94	1963	6304
95	1983	6281
96	2005	6265
97	2023	6234
98	2042	6210
99	2061	6183
100	2078	6154
101	2098	6131
102	2116	6103
103	2134	6074
104	2151	6044
105	2171	6021
106	2189	5995
107	2207	5968
108	2226	5944
109	2245	5919
110	2264	5896
111	2282	5870
112	2299	5839
113	2319	5818
114	2337	5792
115	2358	5773
116	2376	5747
117	2393	5720
118	2410	5692
119	2430	5670
120	2449	5648
121	2467	5622
122	2486	5598
123	2503	5573
124	2531	5568
125	2547	5540
126	2567	5518
127	2584	5491
128	2603	5468
129	2624	5450
130	2642	5425
131	2661	5404
132	2679	5379
133	2697	5355
134	2716	5332
135	2736	5311
136	2756	5290
137	2777	5272
138	2793	5245
139	2814	5226
140	2833	5204
141	2855	5187
142	2876	5169
143	2893	5143
144	2911	5120
145	2930	5097
146	2950	5077
147	2970	5057
148	2987	5033
149	3006	5010
150	3026	4990
151	3046	4971
152	3066	4950
153	3085	4928
154	3105	4908
155	3125	4887
156	3145	4868
157	3165	4848
158	3182	4824
159	3201	4802
160	3219	4778
161	3238	4758
162	3255	4732
163	3270	4706
164	3290	4686
165	3308	4664
166	3329	4644
167	3347	4622
168	3363	4597
169	3380	4573
170	3400	4554
171	3420	4534
172	3440	4513
173	3459	4493
174	3475	4467
175	3493	4446
176	3512	4424
177	3529	4402
178	3549	4382
179	3569	4363
180	3587	4341
181	3605	4318
182	3623	4297
183	3642	4276
184	3661	4254
185	3682	4236
186	3701	4215
187	3721	4196
188	3739	4174
189	3759	4155
190	3779	4135
191	3798	4115
192	3820	4097
193	3839	4076
